ID,fips_code,year,deck_cond,superstructure_cond,channel_cond,culvert_cond
001272,01,1935,5,6,6,N
001273,01,1935,5,6,6,N
001274,01,1935,5,5,6,N
001275,01,1935,6,5,5,N
001276,01,1935,5,5,7,N
001277,01,1935,5,4,6,N
001278,01,1935,N,N,7,6
001279,01,1935,N,N,7,7
001280,01,1935,N,N,6,7
001282,01,1935,5,6,7,N
001284,01,1935,5,7,5,N
001285,01,1935,N,N,6,6
001286,01,1935,N,N,6,5
001288,01,1935,6,6,5,N
001289,01,1935,6,7,7,N
001290,01,1935,N,N,5,5
001295,01,1935,N,N,6,7
001297,01,1935,6,4,6,N
001300,01,1935,N,N,5,5
001301,01,1935,5,5,N,N
001303,01,1935,6,5,6,N
001306,01,1935,5,5,N,N
001307,01,1935,6,5,6,N
001308,01,1935,5,7,7,N
001310,01,1935,7,7,7,N
001311,01,1935,6,6,6,N
001312,01,1935,5,4,7,N
001314,01,1935,N,N,7,6
001315,01,1935,N,N,7,5
001316,01,1935,3,4,7,N
001317,01,1935,N,N,6,5
001318,01,1935,7,7,6,N
001319,01,1935,4,7,7,N
001320,01,1935,5,5,5,N
001322,01,1935,7,5,8,N
001323,01,1935,N,N,5,5
001324,01,1935,5,5,6,N
001332,01,1935,N,N,6,6
001333,01,1935,N,N,6,7
001337,01,1935,6,7,7,N
001338,01,1935,7,7,7,N
001339,01,1935,N,N,5,7
001341,01,1935,5,5,N,N
001346,01,1935,6,7,7,N
001347,01,1935,8,6,6,N
001348,01,1935,N,N,6,7
001351,01,1935,4,4,5,N
001352,01,1935,6,7,6,N
001354,01,1935,N,N,5,6
001358,01,1935,N,N,5,6
001359,01,1935,5,5,5,N
001360,01,1935,N,N,6,6
001362,01,1996,7,5,7,N
001363,01,1935,6,5,7,N
001364,01,1935,N,N,6,6
001365,01,1935,5,5,4,N
001366,01,1935,5,5,6,N
001367,01,1919,6,6,6,N
001368,01,1924,4,5,8,N
001369,01,1936,5,2,5,N
001370,01,1936,5,6,6,N
001375,01,1936,4,4,6,N
001377,01,1936,4,4,6,N
001381,01,1936,5,5,6,N
001383,01,1963,6,6,6,N
001384,01,1936,5,6,6,N
